hierarchy;id_category;prazo
22649 - Esporte e Lazer/Badminton/Calçados de Badminton;22649;7 - 30
22650 - Esporte e Lazer/Badminton/Petecas;22650;7 - 30
22654 - Esporte e Lazer/Badminton/Raquetes;22654;7 - 30
22655 - Esporte e Lazer/Badminton/Acessórios;22655;7 - 30
22658 - Esporte e Lazer/Ciclismo/Bicicletas;22658;7 - 30
22660 - Esporte e Lazer/Pesca/Ganchos;22660;7 - 30
22662 - Esporte e Lazer/Ciclismo/Vestuário de Ciclismo;22662;7 - 30
22663 - Esporte e Lazer/Ciclismo/Peças e Componentes;22663;7 - 30
22664 - Esporte e Lazer/Ciclismo/Equipamento de Segurança;22664;7 - 30
22665 - Esporte e Lazer/Ciclismo/Outros;22665;7 - 30
22670 - Celulares e Acessórios/Áudio/Fones de ouvido;22670;7 - 30
22671 - Celulares e Acessórios/Áudio/Headphones e Headsets;22671;7 - 30
22673 - Celulares e Acessórios/Áudio/Outros;22673;7 - 30
24722 - Brinquedos e Hobbies/Esportes Infantis e Jogos ao Ar Livre/Lançadores;24722;7 - 30
22676 - Esporte e Lazer/Camping e Trilhas/Camping & Caminhadas;22676;7 - 30
22680 - Celulares e Acessórios/Cabos e Carregadores/Cabos USB;22680;7 - 30
22685 - Esporte e Lazer/Camping e Trilhas/Kit de Primeiros Socorros;22685;7 - 30
22689 - Celulares e Acessórios/Cabos e Carregadores/Carregadores;22689;7 - 30
22690 - Esporte e Lazer/Camping e Trilhas/Mochila Camping & Outdoor;22690;7 - 30
22691 - Celulares e Acessórios/Cabos e Carregadores/Tomada;22691;7 - 30
22692 - Celulares e Acessórios/Cabos e Carregadores/Outros;22692;7 - 30
22693 - Esporte e Lazer/Camping e Trilhas/Luzes e Lanternas;22693;7 - 30
26993 - Calçados/Calçados Desportivos/Calçados Desportivos Masuclinos;26993;7 - 30
22696 - Celulares e Acessórios/Cases e Capas de Celular/Capa para iPhone;22696;7 - 30
22697 - Esporte e Lazer/Camping e Trilhas/Equipamento de Segurança;22697;7 - 30
22698 - Esporte e Lazer/Camping e Trilhas/Sacos de Dormir e Colchões Infláveis;22698;7 - 30
22699 - Celulares e Acessórios/Cases e Capas de Celular/Capa para Android;22699;7 - 30
22700 - Celulares e Acessórios/Cases e Capas de Celular/Outros;22700;7 - 30
22705 - Esporte e Lazer/Camping e Trilhas/Equipamento Tático;22705;7 - 30
26995 - Calçados/Tênis/Tênis Masculino;26995;7 - 30
22709 - Esporte e Lazer/Camping e Trilhas/Outros;22709;7 - 30
22712 - Celulares e Acessórios/Gadgets/Outros Instrumentos Pequenos;22712;7 - 30
26996 - Calçados/Calçados Desportivos/Calçados Desportivos Femininos;26996;7 - 30
22714 - Celulares e Acessórios/Gadgets/Ventilador USB;22714;7 - 30
22716 - Esporte e Lazer/Acessórios Esportivos Gerais/Garrafas e Agitadores;22716;7 - 30
22717 - Celulares e Acessórios/Gadgets/Luminária USB;22717;7 - 30
26997 - Calçados/Tênis/Tênis Feminino;26997;7 - 30
26822 - Livros e Revistas/Revistas e Jornais/Outros;26822;7 - 30
26824 - Livros e Revistas/Livros/Outras;26824;7 - 30
26826 - Livros e Revistas/Outros/Outros;26826;7 - 30
26999 - Calçados/Sandálias e Chinelos/Sandálias e Chinelos Masculinos;26999;7 - 30
26828 - Livros e Revistas/Revistas e Jornais/Estilo de Vida;26828;7 - 30
22733 - Esporte e Lazer/Pesca/Linhas;22733;7 - 30
26831 - Livros e Revistas/Revistas e Jornais/Teen;26831;7 - 30
26832 - Livros e Revistas/Livros/Quadrinhos e Mangá;26832;7 - 30
27000 - Calçados/Sandálias e Chinelos/Sandálias Femininas;27000;7 - 30
26834 - Livros e Revistas/Livros/Agricultura, Silvicultura e Pesca;26834;7 - 30
26835 - Livros e Revistas/Livros/Artes, Design e Fotografia;26835;7 - 30
26836 - Livros e Revistas/Livros/Receitas e Culinária;26836;7 - 30
26837 - Livros e Revistas/Livros/Negócios e Investimentos;26837;7 - 30
