hierarchy;id_category;prazo
100123 - Health/Medical Supplies/Nasal Care;100123;7 - 30
100125 - Health/Medical Supplies/Stethoscopes;100125;7 - 30
100127 - Health/Medical Supplies/Laboratory Tools;100127;7 - 30
100128 - Health/Medical Supplies/Medical Gloves & Masks;100128;7 - 30
100130 - Health/Medical Supplies/Others;100130;7 - 30
100131 - Health/Personal Care/Hand Sanitizers;100131;7 - 30
100133 - Health/Personal Care/Ear Care;100133;7 - 30
100135 - Health/Personal Care/Adult Diapers & Incontinence;100135;7 - 30
100137 - Health/Personal Care/Massage & Therapy Devices;100137;7 - 30
100139 - Health/Personal Care/Others;100139;7 - 30
100140 - Health/Sexual Wellness/Condoms;100140;7 - 30
100141 - Health/Sexual Wellness/Lubricants;100141;7 - 30
100142 - Health/Sexual Wellness/Sex Toys;100142;7 - 30
100144 - Health/Sexual Wellness/Others;100144;7 - 30
100145 - Fashion Accessories/Hair Accessories/Headbands;100145;7 - 30
100146 - Fashion Accessories/Hair Accessories/Hair Ties, Ribbons & Scrunchies;100146;7 - 30
100147 - Fashion Accessories/Hair Accessories/Hair Clips & Hair Pins;100147;7 - 30
100148 - Fashion Accessories/Hair Accessories/Wigs & Extensions;100148;7 - 30
100149 - Fashion Accessories/Hair Accessories/Headpieces, Tiaras & Flower Crowns;100149;7 - 30
100150 - Fashion Accessories/Hair Accessories/Others;100150;7 - 30
100151 - Fashion Accessories/Eyewear/Sunglasses;100151;7 - 30
100152 - Fashion Accessories/Eyewear/Frames & Glasses;100152;7 - 30
100153 - Fashion Accessories/Eyewear/Eyewear Cases & Accessories;100153;7 - 30
100154 - Fashion Accessories/Eyewear/Others;100154;7 - 30
100155 - Fashion Accessories/Investment Precious Metals/Platinum & K Gold;100155;7 - 30
100156 - Fashion Accessories/Investment Precious Metals/Silver;100156;7 - 30
100157 - Fashion Accessories/Investment Precious Metals/Diamond;100157;7 - 30
100158 - Fashion Accessories/Investment Precious Metals/Jade;100158;7 - 30
100159 - Fashion Accessories/Investment Precious Metals/Others;100159;7 - 30
100160 - Fashion Accessories/Additional Accessories/Brooches & Pins;100160;7 - 30
100161 - Fashion Accessories/Additional Accessories/Patches;100161;7 - 30
100162 - Fashion Accessories/Additional Accessories/Charms, Pendants & Ornaments;100162;7 - 30
100163 - Fashion Accessories/Additional Accessories/Cufflinks;100163;7 - 30
100164 - Fashion Accessories/Additional Accessories/Tattoos;100164;7 - 30
100165 - Fashion Accessories/Additional Accessories/Masks;100165;7 - 30
100166 - Fashion Accessories/Additional Accessories/Handkerchiefs;100166;7 - 30
100167 - Fashion Accessories/Additional Accessories/Others;100167;7 - 30
100168 - Home Appliances/Projectors & Accessories/Projectors & Projector Screens;100168;7 - 30
100169 - Home Appliances/Projectors & Accessories/Pointers;100169;7 - 30
100170 - Home Appliances/Projectors & Accessories/Others;100170;7 - 30
100171 - Home Appliances/Small Household Appliances/Foot Baths & Spas;100171;7 - 30
